0000.00-0000,J GRADE 190 PROOF INDUSTRIAL ETHANOL  J GRADE 190 PROOF INDUSTRIAL ETHANOL 
0207.27-1000,Meat of Turkey
0304.81-0000,Salmon fillets
0402.99-9000,Milk
0403.10-2000,Yogurt
0403.10-9000,Yogurt  YTRIM yogurt  R.KOREA
0405.90-0000,Other fats and oils derived from milk Parmesan Cheese and Basil Garlic Butter
0406.10-1010,Mozzarella cheese Fresh Mozzarella Pearls U.S.A
0406.10-1090,Ricotta cheese RICOTTA CON LATTE U.S.A
0406.30-0000,Processed cheese BLUEBERRY CREAM CHEESE RIBBON
0406.90-1000,Cheddar cheese Flagship Handmade Cheese C1307010 U.S.A
0406.90-9000,Other cheese
0506.90-2000,Bone powder
0603.90-0000,Rose
0709.99-9000,Ginger sprouts
0710.21-0000,Peas
0710.40-0000,Sweet corn
0710.80-4000,Carrot
0710.80-9000,Other vegetables
0710.90-0000,Vegetable
0712.20-0000,Onion powder  ONION POWDER CN  PR.CHNA
0712.90-1000,Garlic powder  GARLIC POWDER CN  PR.CHNA
0712.90-2030,Dried vegetable Freezedried Chives P.PERU
0712.90-2040,Carrot powder Carrot powder U.S.A
0712.90-2099,Chong kyung chia
0714.20-4000,Sweet potatoes
0802.12-0000,Almond
0904.11-0000,Pepper
0904.22-0000,Green pepper
0910.11-2000,Ginger
0910.99-9000,Basil seed INDIA
1001.99-9090,OHSOSOFT COMPORT CUSHION
1004.90-0000,LAVENDER COMPORT40cm12.5cm
1101.00-1000,Oat POLAND
1102.20-0000,Wheat flour LA RIMACINATA PER PANE ITALY
1102.90-2000,Maizecorn flour YELLOW CORN FLOUR NETHERL
1102.90-9000,Glutinous rice flour
1102-90-9000,Quinoa flour  P.PERU
1103.13-0000,Quinoa powder P.PERU
1103.19-3000,Corn meal MAIZE GRITSSample 5 INDIA
1103.19-9000,Rice meal HMWE MYANMAR
1104.12-0000,Sweet corn powder Sweet Corn Powder &Sugar Blend NEWZLND
1104.22-0000,RED TRACTOR OMEGA 3 INSTANT OATS AUSTRAL
1104.23-0000,Other worked grains of oats NUDE OATS CANADA
1104.29-9000,Corn grits MAIZE GRITSsample 1 INDIA
1106.10-0000,Hulled quinoa  U.S.A
1106.20-9000,Mung bean powder  MYANMAR
1106.30-0000,CASSAVA POWDER  TEPUNG GAPLEK  INDNSIA
1107.20-9000,Acai berry powder  Freeze dried Acai Organic high solids powder  U.S.A
1108.14-9000,Malt
1204.00-0000,Manioccassava starch  NATIVE TAPIOCA STARCH
1207.99-9000,EYE PILLOW
1208.90-0000,Chia seeds CHIA SEED PARAGUY/ARGENTN
1209.29-1000,Chia seed BOLIVIA
1209.91-5000,Perilla seed meal PERILLA SEED POWDER CHINA
1209.99-4000,Lupine seed  Bulk  AUSTRAL
1211.20-1399,Lawn seed  HJG  R.KOREA
1211.20-2110,Lawn seed PLAAH 
1211.90-9070,Red ginseng   R.KOREA
1211.90-9099,White ginseng powder
1212.29-9099,OREGANO LEAVES  TURKEY
1214.90-9090,Chamomile flower
1302.19-9010,Seaweed Seaweed powder GERMANY
1302.19-9099,Hay  REED CANARY GRASS HAY  U.S.A
1302.32-0000,Vegetable extract  elaVida tm 15%  SPAIN
1404.90-9000,Chaga mushroom extract Siberian Chaga dried extract RUSSIAN
1507.90-1010,Casaba stem
1509.10-0000,Cassaba stem
1513.19-1000,Olive oil
1515.19-0000,Olive oil
1516.20-2020,Coconut Oil
1516.20-2090,Linseed Oil  IRELAND
1517.90-2000,Hydrogenated palm oil  GTS  PR.CHNA
1517.90-9000,Reesterified palm kernel oil MALAYA
1601.00-1000,Fish oil preparation  EPA1T1600  PERU
1602.32-9000,Edible oil preparations WILD AND WHOLE ALASKAN SALMON OIL U.S.A
1602.41-9000,Sausage CHICKEN VIENNA SAUSAGE U.S.A
1602.42-9000,Chicken preparation CHICKEN KORMA U.S.A
1602.50-1000,Ham preparations KS Pork Stips Asian BBQ Seasoning
1602.50-9000,Pork preparation SMOKED PULLED PORK U.S.A
1603.00-3000,Beef preparation Bone in chunk rib soup 4.5cm THAILND
1604.11-9000,Fish extract powder SH761 PR.CHNA
1604.19-9090,Prepared salmon Hot smoked atlantic salmon NORWAY
1604.20-4090,Prepared salmon  Marinated and smoked Atlantic salmon in slice
1604.20-9000,Fish preparation GOLDEN FISH STICK VIETNAM
1605.21-9000,Fish preparation ROCKY SHRIMP BALL PR.CHNA
1605.52-9000,Fish preparation NET SHRIMP ROLL VIETNAM
1605.54-2099,Shrimp
1605.55-9000,Squid preparation
1701.14-2000,Squid preparation FROZEN SEAFOOD SKEWER THAILND
1701.99-0000,6g/PC x 20PC/TRAY x 30TRAYS/CT
1702.90-1000,Other sugar ORGANIC CANE SUGAR ARGENTN
1702.90-9000,Sugar    R.KOREA
1704.90-2010,Other sugar syrup R.KOREA
1704.90-2090,Sugar syrup  DEIONIZED CLARIFIED PINEAPPLE JUICE CONCENTRATEASEPTIC
1704.90-9000,Candy JUNGLE HARD CANDY PR.CHNA
1802.00-1000,Candy SAFARI TWIRL W HARD CANDY PR.CHNA
1805.00-0000,Candy SAFARI RING POPS PR.CHNA
1806.32-1000,Sugar confectionary CROCANTE GEORGALOS ARGENTN
1806.90-1000,Cocoa shells  CBS  INDNSIA
1806.90-9090,Chocolate Spread Duo Penotti 2go Hazelnut NETHERL
1901.20-9000,Cocoa preparation  SWISS MISS HOT COCOA GIFT TINFRENCH VANILLA  U.S.A
1901.90-1000,Mixes for the preparation of bakers wares Ghirardelli Triple Chocolate Brownie Mix U.S.A
1901.90-2010,Doughs for the preparation of bakers wares  PR.CHNA
1901.90-9091,Food preparations of goods of headings 04.01 to 04.04 Panna cotta ITALY
1901.90-9099,Food preparations of goods of headings 04.01 to 04.04  R.KOREA
1902.19-2000,Wheat flour preparation  PREDUST
1902.19-9000,Flour preparation TEMPURA BATTER U.S.A
1902.20-0000,Pasta BRONZO PASTA PENNE ITALY
1902.30-1090,Stuffed pasta Organic Chicken Bite size dumpling U.S.A
1902.30-9000,Stuffed pasta  Mix Dimsum  PR.CHNA
1904.10-1000,Instant noodles  Pad Thai Koong  Thailand
1904.10-3000,Instant noodles Pad Thai Cooking Set THAILND
